жовтий, жёлтый, 3, 1.2000, 0.5000, 0.2000, 0.8000, 0.1333, 1.2000, 0.2000, 1.2000, 0.2000, 1.2000, 0.2000
жовтий, жесткий, 3, 2.4000, 0.4286, 0.3429, 1.2000, 0.1714, 1.8000, 0.2571, 2.0000, 0.2857, 2.2000, 0.3143
жовтий, жуткий, 3, 1.6000, 0.5000, 0.2667, 0.8000, 0.1333, 1.2000, 0.2000, 1.6000, 0.2667, 1.6000, 0.2667
географія, география, 1, 0.2000, 0.1111, 0.0222, 0.2000, 0.0222, 0.2000, 0.0222, 0.2000, 0.0222, 0.2000, 0.0222
атом, атом, 0, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
мільярд, миллиард, 4, 2.2000, 0.5000, 0.2750, 0.8000, 0.1000, 1.4000, 0.1750, 1.8000, 0.2250, 2.0000, 0.2500
ядро, ядро, 0, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
діаметр, диаметр, 1, 0.2000, 0.1429, 0.0286, 0.2000, 0.0286, 0.2000, 0.0286, 0.2000, 0.0286, 0.2000, 0.0286
метр, метр, 0, 0.2000, 0.0000, 0.0500, 0.2000, 0.0500, 0.2000, 0.0500, 0.2000, 0.0500, 0.2000, 0.0500
біологія, биология, 2, 0.0000, 0.2500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
коло, окружность, 8, 6.4000, 0.8000, 0.6400, 2.4000, 0.2400, 3.4000, 0.3400, 4.4000, 0.4400, 5.4000, 0.5400
довжина, длина, 3, 2.8000, 0.4286, 0.4000, 1.0000, 0.1429, 1.6000, 0.2286, 2.0000, 0.2857, 2.4000, 0.3429
слово, слово, 0, 0.2000, 0.0000, 0.0400, 0.2000, 0.0400, 0.2000, 0.0400, 0.2000, 0.0400, 0.2000, 0.0400
робітник, работник, 2, 1.2000, 0.2500, 0.1500, 1.0000, 0.1250, 1.2000, 0.1500, 1.2000, 0.1500, 1.2000, 0.1500
робітник, ровесник, 3, 1.2000, 0.3750, 0.1500, 1.2000, 0.1500, 1.2000, 0.1500, 1.2000, 0.1500, 1.2000, 0.1500
палець, палец, 1, 1.2000, 0.1667, 0.2000, 0.4000, 0.0667, 0.6000, 0.1000, 0.8000, 0.1333, 1.0000, 0.1667
світити, светить, 2, 1.8000, 0.2857, 0.2571, 1.2000, 0.1714, 1.6000, 0.2286, 1.8000, 0.2571, 1.8000, 0.2571
потішити, потешить, 2, 1.6000, 0.2500, 0.2000, 1.0000, 0.1250, 1.4000, 0.1750, 1.6000, 0.2000, 1.6000, 0.2000
наділити, наделить, 2, 1.6000, 0.2500, 0.2000, 1.0000, 0.1250, 1.4000, 0.1750, 1.6000, 0.2000, 1.6000, 0.2000
затуляти, загулять, 2, 1.6000, 0.2500, 0.2000, 0.8000, 0.1000, 1.4000, 0.1750, 1.6000, 0.2000, 1.6000, 0.2000
рішення, резинка, 5, 2.0000, 0.7143, 0.2857, 1.4000, 0.2000, 2.0000, 0.2857, 2.0000, 0.2857, 2.0000, 0.2857
рішення, решение, 3, 2.0000, 0.4286, 0.2857, 1.4000, 0.2000, 1.8000, 0.2571, 2.0000, 0.2857, 2.0000, 0.2857
захлинутися, захлебнуться, 3, 2.4000, 0.2500, 0.2000, 1.0000, 0.0833, 1.6000, 0.1333, 2.0000, 0.1667, 2.2000, 0.1833
сьогодні, сегодня, 3, 2.2000, 0.3750, 0.2750, 1.0000, 0.1250, 1.6000, 0.2000, 1.8000, 0.2250, 2.0000, 0.2500
вибір, выбор, 2, 1.0000, 0.4000, 0.2000, 0.8000, 0.1600, 1.0000, 0.2000, 1.0000, 0.2000, 1.0000, 0.2000
політичний, позитивный, 4, 1.6000, 0.4000, 0.1600, 1.2000, 0.1200, 1.6000, 0.1600, 1.6000, 0.1600, 1.6000, 0.1600
політичний, прожиточный, 5, 2.4000, 0.4545, 0.2182, 1.2000, 0.1091, 1.8000, 0.1636, 2.0000, 0.1818, 2.2000, 0.2000
політичний, больничный, 4, 2.0000, 0.4000, 0.2000, 1.2000, 0.1200, 1.8000, 0.1800, 2.0000, 0.2000, 2.0000, 0.2000
політичний, посадочный, 5, 1.8000, 0.5000, 0.1800, 1.6000, 0.1600, 1.8000, 0.1800, 1.8000, 0.1800, 1.8000, 0.1800
політичний, порядочный, 5, 2.0000, 0.5000, 0.2000, 1.6000, 0.1600, 2.0000, 0.2000, 2.0000, 0.2000, 2.0000, 0.2000
політичний, поперечный, 5, 2.4000, 0.5000, 0.2400, 1.8000, 0.1800, 2.4000, 0.2400, 2.4000, 0.2400, 2.4000, 0.2400
політичний, политический, 4, 2.8000, 0.3333, 0.2333, 1.2000, 0.1000, 1.6000, 0.1333, 2.0000, 0.1667, 2.4000, 0.2000
колгосп, колхоз, 3, 1.6000, 0.4286, 0.2286, 0.8000, 0.1143, 1.0000, 0.1429, 1.2000, 0.1714, 1.4000, 0.2000
огорожа, ограда, 3, 1.8000, 0.4286, 0.2571, 1.0000, 0.1429, 1.2000, 0.1714, 1.4000, 0.2000, 1.6000, 0.2286
бомбардування, бомбардировка, 6, 3.4000, 0.4615, 0.2615, 1.6000, 0.1231, 2.8000, 0.2154, 3.4000, 0.2615, 3.4000, 0.2615
похилий, пожилой, 2, 1.4000, 0.2857, 0.2000, 1.0000, 0.1429, 1.4000, 0.2000, 1.4000, 0.2000, 1.4000, 0.2000
похилий, похожий, 2, 1.4000, 0.2857, 0.2000, 1.0000, 0.1429, 1.4000, 0.2000, 1.4000, 0.2000, 1.4000, 0.2000
похилий, пухлый, 3, 1.4000, 0.4286, 0.2000, 0.6000, 0.0857, 0.8000, 0.1143, 1.0000, 0.1429, 1.2000, 0.1714
розстріл, расстрел, 3, 1.0000, 0.3750, 0.1250, 1.0000, 0.1250, 1.0000, 0.1250, 1.0000, 0.1250, 1.0000, 0.1250
безcилий, бессильный, 5, 3.8000, 0.5000, 0.3800, 1.6000, 0.1600, 2.4000, 0.2400, 3.0000, 0.3000, 3.4000, 0.3400
худий, худой, 1, 0.6000, 0.2000, 0.1200, 0.4000, 0.0800, 0.6000, 0.1200, 0.6000, 0.1200, 0.6000, 0.1200
худий, худший, 1, 1.2000, 0.1667, 0.2000, 0.4000, 0.0667, 0.6000, 0.1000, 0.8000, 0.1333, 1.0000, 0.1667
захлинутися, захлебнуться, 3, 2.4000, 0.2500, 0.2000, 1.0000, 0.0833, 1.6000, 0.1333, 2.0000, 0.1667, 2.2000, 0.1833
захлинутися, захлопнуться, 3, 2.6000, 0.2500, 0.2167, 1.0000, 0.0833, 1.8000, 0.1500, 2.2000, 0.1833, 2.4000, 0.2000
